seq,time_sent,time_received,delay(offset=-483176230500),payload_bytes
0,1757857508498648500,1.757857025325805e+18,3386880.0,1037
1,1757857508598948700,1.757857025426398e+18,3679744.0,1037
2,1757857508698739500,1.757857025525985e+18,3475968.0,1037
3,1757857508798749500,1.757857025625996e+18,3476992.0,1037
4,1757857508898982500,1.757857025726278e+18,3525888.0,1037
5,1757857508999066200,1.757857025826657e+18,3821312.0,1037
6,1757857509098858500,1.757857025925567e+18,2938880.0,1037
7,1757857509198771400,1.75785702602608e+18,3538944.0,1037
8,1757857509298956400,1.757857026126163e+18,3437056.0,1037
9,1757857509398813100,1.757857026226065e+18,3482112.0,1037
10,1757857509499204000,1.757857026326518e+18,3544320.0,1038
11,1757857509598812100,1.757857026426149e+18,3567360.0,1038
12,1757857509698762300,1.757857026526083e+18,3551232.0,1038
13,1757857509798982800,1.757857026627631e+18,4878592.0,1038
14,1757857509898975700,1.757857026737734e+18,14988544.0,1038
15,1757857509999112900,1.757857026826409e+18,3526400.0,1038
16,1757857510098808200,1.757857026926107e+18,3528960.0,1038
17,1757857510198780000,1.757857027026198e+18,3648512.0,1038
18,1757857510298979300,1.757857027126328e+18,3579136.0,1038
19,1757857510399178300,1.757857027226511e+18,3563264.0,1038
20,1757857510498772900,1.757857027326568e+18,4025344.0,1038
21,1757857510599101800,1.757857027426337e+18,3465728.0,1038
22,1757857510698834500,1.757857027526211e+18,3607040.0,1038
23,1757857510798846300,1.757857027626192e+18,3576064.0,1038
24,1757857510898964800,1.757857027726239e+18,3504640.0,1038
25,1757857510999084300,1.757857027826386e+18,3532032.0,1038
26,1757857511099238200,1.757857027957652e+18,34644224.0,1038
27,1757857511199082900,1.757857028026395e+18,3542272.0,1038
28,1757857511298955100,1.757857028145807e+18,23082496.0,1038
29,1757857511398786100,1.757857028248267e+18,25711360.0,1038
30,1757857511499167300,1.757857028350638e+18,27701248.0,1038
31,1757857511599360800,1.757857028426599e+18,3468544.0,1038
32,1757857511698940400,1.757857028526389e+18,3678976.0,1038
33,1757857511798942800,1.757857028626121e+18,3408640.0,1038
34,1757857511899068700,1.757857028726396e+18,3557632.0,1038
35,1757857511999299400,1.757857028852629e+18,29560064.0,1038
36,1757857512099287100,1.757857028926512e+18,3455488.0,1038
37,1757857512198784600,1.757857029059715e+18,37160960.0,1038
38,1757857512298801600,1.757857029129603e+18,7031808.0,1038
39,1757857512399079000,1.757857029266613e+18,43764480.0,1038
40,1757857512498844300,1.75785702933829e+18,15675904.0,1038
