seq,time_sent,time_received,delay(offset=-483168215350),payload_bytes
92,1757857887524814300,1.757857404360167e+18,3567872.0,1038
93,1757857887625445200,1.757857404461227e+18,3997184.0,1038
94,1757857887725335100,1.757857404560594e+18,3474176.0,1038
95,1757857887824981200,1.757857404660267e+18,3501056.0,1038
96,1757857887925209000,1.757857404760542e+18,3548160.0,1038
97,1757857888024870600,1.757857404862503e+18,5847552.0,1038
98,1757857888124753600,1.757857404959938e+18,3399680.0,1038
99,1757857888225018100,1.75785740506041e+18,3607296.0,1038
100,1757857888324980400,1.757857405160406e+18,3640832.0,1039
101,1757857888424983500,1.757857405260209e+18,3440640.0,1039
102,1757857888525317200,1.757857405360385e+18,3283200.0,1039
103,1757857888625195100,1.757857405460556e+18,3576320.0,1039
104,1757857888725030700,1.757857405560267e+18,3451648.0,1039
105,1757857888825161700,1.75785740566063e+18,3683584.0,1039
106,1757857888925012600,1.757857405760323e+18,3525888.0,1039
107,1757857889025257300,1.757857405860618e+18,3576064.0,1039
108,1757857889125110900,1.757857405960468e+18,3572480.0,1039
109,1757857889224977300,1.757857406060313e+18,3550976.0,1039
110,1757857889324829900,1.757857406160274e+18,3659264.0,1039
111,1757857889425001300,1.757857406260349e+18,3563008.0,1039
112,1757857889525168500,1.757857406360406e+18,3452928.0,1039
113,1757857889625440700,1.757857406460766e+18,3540480.0,1039
114,1757857889725296200,1.757857406560745e+18,3664128.0,1039
115,1757857889825083300,1.757857406660399e+18,3531008.0,1039
116,1757857889925141100,1.757857406760701e+18,3775232.0,1039
117,1757857890025131400,1.757857406860456e+18,3539712.0,1039
118,1757857890124920800,1.757857406960191e+18,3485440.0,1039
119,1757857890224967600,1.757857407060289e+18,3536640.0,1039
120,1757857890325052700,1.757857407160491e+18,3653632.0,1039
121,1757857890425177200,1.757857407260593e+18,3631104.0,1039
122,1757857890524812000,1.757857407360124e+18,3527168.0,1039
123,1757857890625112600,1.757857407460415e+18,3517696.0,1039
124,1757857890725326700,1.757857407560634e+18,3522816.0,1039
125,1757857890825196900,1.757857407660556e+18,3574528.0,1039
126,1757857890925203400,1.757857407760672e+18,3683840.0,1039
127,1757857891025067800,1.757857407860504e+18,3651584.0,1039
128,1757857891124867500,1.757857407960208e+18,3555584.0,1039
129,1757857891224973300,1.757857408060346e+18,3588096.0,1039
130,1757857891327355700,1.757857408162674e+18,3533568.0,1039
131,1757857891425218400,1.757857408260639e+18,3635968.0,1039
132,1757857891525010000,1.757857408360406e+18,3611392.0,1039
133,1757857891624740300,1.757857408460287e+18,3761920.0,1039
134,1757857891725297100,1.757857408560682e+18,3600128.0,1039
135,1757857891824862400,1.757857408660263e+18,3615744.0,1039
136,1757857891925078200,1.757857408760402e+18,3538944.0,1039
137,1757857892025043600,1.757857408860335e+18,3506688.0,1039
138,1757857892124947600,1.757857408960262e+18,3529472.0,1039
139,1757857892225341900,1.757857409060722e+18,3595264.0,1039
140,1757857892324990900,1.757857409199972e+18,43196416.0,1039
141,1757857892425001300,1.757857409260453e+18,3667200.0,1039
142,1757857892524937600,1.757857409360316e+18,3593472.0,1039
143,1757857892624759500,1.757857409460087e+18,3542784.0,1039
144,1757857892724836700,1.757857409560242e+18,3620608.0,1039
145,1757857892824859300,1.757857409660303e+18,3659008.0,1039
146,1757857892924991000,1.757857409760574e+18,3798272.0,1039
147,1757857893025415300,1.757857409860718e+18,3517952.0,1039
148,1757857893125118900,1.757857409960524e+18,3620352.0,1039
149,1757857893224839800,1.757857410060192e+18,3567616.0,1039
150,1757857893325141500,1.75785741016047e+18,3543808.0,1039
151,1757857893425022000,1.757857410260506e+18,3699456.0,1039
152,1757857893524945100,1.757857410360262e+18,3532032.0,1039
153,1757857893624735700,1.75785741046022e+18,3699456.0,1039
154,1757857893725379700,1.757857410560716e+18,3551744.0,1039
155,1757857893825020500,1.757857410660352e+18,3546880.0,1039
156,1757857893925163500,1.75785741076043e+18,3481856.0,1039
157,1757857894024922700,1.757857410864777e+18,8069632.0,1039
158,1757857894125365500,1.757857410960765e+18,3614720.0,1039
159,1757857894224967500,1.757857411060454e+18,3701760.0,1039
160,1757857894325031900,1.757857411160478e+18,3661312.0,1039
161,1757857894424826400,1.757857411272246e+18,15634944.0,1039
162,1757857894525164800,1.75785741136083e+18,3880448.0,1039
163,1757857894624735900,1.757857411460098e+18,3577344.0,1039
164,1757857894725000000,1.757857411560531e+18,3746304.0,1039
165,1757857894825097200,1.757857411661504e+18,4622080.0,1039
166,1757857894925099900,1.757857411760537e+18,3652608.0,1039
167,1757857895024759900,1.757857411860097e+18,3552512.0,1039
168,1757857895124748100,1.757857411960083e+18,3550208.0,1039
169,1757857895224965000,1.757857412060208e+18,3458304.0,1039
170,1757857895324880300,1.757857412160626e+18,3960832.0,1039
171,1757857895424958300,1.757857412260364e+18,3621120.0,1039
172,1757857895525006100,1.757857412361506e+18,4715264.0,1039
173,1757857895624738900,1.757857412460015e+18,3491584.0,1039
174,1757857895725075400,1.757857412560231e+18,3370752.0,1039
175,1757857895824827800,1.75785741266008e+18,3467520.0,1039
176,1757857895924839700,1.757857412760204e+18,3579648.0,1039
177,1757857896024856400,1.757857412860302e+18,3661056.0,1039
178,1757857896124739100,1.757857412960661e+18,4137216.0,1039
179,1757857896224942200,1.757857413060447e+18,3720192.0,1039
180,1757857896324954700,1.757857413160355e+18,3615744.0,1039
181,1757857896425047200,1.757857413262824e+18,5991936.0,1039
182,1757857896525216300,1.757857413360622e+18,3621120.0,1039
183,1757857896624736200,1.757857413460297e+18,3776000.0,1039
184,1757857896725372200,1.757857413560801e+18,3644160.0,1039
185,1757857896825243500,1.75785741366058e+18,3552000.0,1039
186,1757857896925370500,1.757857413760852e+18,3696640.0,1039
187,1757857897024740200,1.757857413860179e+18,3654144.0,1039
188,1757857897125142200,1.75785741396063e+18,3703040.0,1039
189,1757857897225085400,1.757857414060727e+18,3856896.0,1039
190,1757857897325029600,1.757857414160411e+18,3596544.0,1039
191,1757857897424789500,1.757857414260161e+18,3586816.0,1039
192,1757857897525358100,1.757857414360841e+18,3698176.0,1039
193,1757857897624740800,1.757857414460325e+18,3799552.0,1039
194,1757857897725315500,1.757857414560866e+18,3765760.0,1039
195,1757857897825108500,1.757857414660583e+18,3689728.0,1039
196,1757857897924990000,1.757857414760469e+18,3694336.0,1039
197,1757857898025269400,1.757857414860638e+18,3583744.0,1039
198,1757857898124732700,1.757857414960249e+18,3731712.0,1039
199,1757857898225104000,1.75785741506073e+18,3841536.0,1039
