time_s,rtt_ms
0.0,77.4
0.239,116.0
0.5,176.0
0.716,192.0
0.757,34.0
1.05,126.0
1.256,131.0
1.461,136.0
1.575,50.3
1.749,24.2
1.953,27.8
2.295,168.0
2.388,60.8
2.751,223.0
2.768,40.5
2.965,36.4
3.159,29.6
3.389,58.6
5.1,117.0
5.208,23.0
5.439,54.0
5.625,39.2
5.83,43.3
6.016,28.5
6.211,22.8
6.433,43.5
6.649,58.7
6.853,61.9
7.048,55.9
7.244,51.4
7.443,49.4
7.625,30.5
7.843,48.1
8.054,58.5
8.238,41.8
8.467,70.1
8.678,80.4
8.884,85.4
9.06,60.4
9.256,55.7
9.444,43.0
9.652,50.4
9.845,42.0
10.061,57.4
10.247,43.1
10.467,62.6
10.698,92.4
10.85,42.8
11.044,35.9
11.248,39.5
11.505,95.1
11.751,141.0
11.848,36.4
12.074,61.6
12.322,109.0
12.468,53.7
12.699,83.8
12.891,74.5
13.052,35.0
13.302,84.7
13.462,42.8
13.692,72.1
13.878,57.7
14.25,229.0
14.271,47.3
14.525,101.0
14.682,56.2
14.867,40.9
15.094,67.5
15.302,74.0
15.597,169.0
15.648,19.7
15.874,45.1
16.131,101.0
16.287,56.5
16.46,28.4
16.655,22.5
16.938,105.0
17.126,93.2
17.277,43.5
17.457,22.8
17.72,84.4
18.077,240.0
18.077,37.0
18.369,129.0
18.49,49.0
19.027,385.0
19.027,179.0
19.107,58.5
19.359,109.0
19.488,38.3
19.721,70.6
19.909,57.2
20.092,39.6
20.289,35.2
20.52,65.4
20.801,146.0
20.911,55.6
21.496,438.0
21.522,258.0
21.522,50.2
21.903,231.0
21.934,54.0
22.117,36.3
22.335,53.6
22.508,25.8
23.127,444.0
23.14,252.0
23.14,44.0
23.39,94.0
23.53,33.3
23.75,52.2
23.945,46.9
24.174,75.2
24.388,88.5
24.545,45.1
24.778,76.4
24.935,32.9
25.307,205.0
25.328,24.1
25.565,60.5
25.751,46.0
25.922,16.2
26.179,72.0
26.345,38.4
26.576,68.5
26.773,65.1
26.95,41.1
27.155,46.3
27.369,58.9
27.55,39.3
27.752,40.6
28.012,100.0
28.193,80.2
28.344,30.2
28.772,52.7
28.941,20.5
29.169,47.0
29.639,316.0
29.649,121.0
