time_s,cwnd_bytes,rtt_ms
0.0,284,26.351
1.0,300,66.408
2.0,54,74.703
3.0,38,51.768
4.0,9,52.311
5.0,24,53.139
6.0,18,51.109
7.0,15,45.886
8.0,15,40.361
9.0,4,45.551
10.0,44,47.605
11.0,1,45.223
12.0,51,55.789
13.0,44,42.575
14.0,58,35.208
15.0,64,37.795
16.0,66,41.333
17.0,122,38.267
18.0,140,34.995
19.0,142,34.817
20.0,166,23.76
21.0,200,34.922
22.0,220,49.524
23.0,94,21.042
24.0,152,21.885
25.0,162,27.179
26.0,130,29.838
27.0,176,30.268
28.0,84,28.637
29.0,106,24.749
30.0,120,24.297
31.0,120,30.505
32.0,112,31.169
33.0,98,30.053
34.0,86,26.203
35.0,94,22.455
36.0,76,34.462
37.0,56,24.41
38.0,80,45.301
39.0,66,25.773
40.0,86,19.077
41.0,68,22.02
42.0,82,28.224
43.0,80,31.023
44.0,90,30.257
45.0,64,41.515
46.0,76,28.39
47.0,1,25.299
48.0,70,30.319
49.0,66,27.99
50.0,90,31.785
51.0,88,25.09
52.0,110,30.534
53.0,74,25.456
54.0,76,37.074
55.0,90,26.36
56.0,76,30.976
57.0,112,36.292
58.0,106,22.126
