time_s,rtt_ms
0.0,4.85
0.243,46.8
0.475,77.7
0.699,101.0
0.83,31.7
1.08,80.0
1.276,75.8
1.452,51.2
1.635,33.6
1.879,76.9
2.029,26.3
2.262,58.1
2.461,58.1
2.697,93.3
2.827,23.1
3.026,21.1
3.231,25.4
3.435,28.2
3.643,35.8
3.843,35.2
4.036,27.9
4.235,25.8
4.435,25.7
4.629,18.1
4.836,25.1
5.041,29.2
5.232,18.8
5.444,31.0
5.647,33.6
5.854,39.0
6.05,34.4
6.247,30.1
6.434,16.6
6.632,12.9
6.838,19.4
7.032,11.7
7.232,11.1
7.432,10.7
7.637,14.1
7.836,12.3
8.041,17.1
8.24,14.9
8.445,19.5
8.644,17.3
8.844,16.9
9.044,16.0
9.249,20.3
9.448,18.1
9.647,15.6
9.851,19.8
10.045,12.7
10.25,17.6
10.453,19.4
10.658,23.3
10.858,22.0
11.058,21.3
11.252,15.1
11.458,20.1
11.657,17.8
11.859,19.2
12.059,18.3
12.266,24.3
12.466,24.3
12.66,17.3
12.866,22.6
13.068,23.8
13.266,20.0
13.665,12.2
13.865,11.7
14.075,19.9
14.272,16.4
14.477,21.5
14.674,17.4
14.875,17.3
15.068,10.1
15.272,13.3
15.485,26.2
15.685,24.3
15.877,16.7
16.083,22.0
16.273,11.9
16.479,17.9
16.686,25.1
16.884,22.6
17.085,21.1
17.296,31.9
17.489,24.7
17.683,16.8
17.886,19.0
18.09,22.0
18.285,16.6
18.487,17.1
18.696,25.7
18.892,20.7
19.091,18.1
19.291,17.6
19.496,21.1
19.7,24.5
19.906,29.0
20.099,21.6
20.307,29.2
20.504,25.7
20.707,27.4
20.901,19.7
21.117,35.6
21.347,64.3
21.5,16.3
21.698,14.3
21.901,16.3
22.109,23.6
22.305,17.9
22.506,18.2
22.711,22.7
22.918,27.9
23.106,15.8
23.303,11.6
23.503,10.7
23.711,18.5
23.908,14.4
24.108,13.7
24.309,12.9
24.514,17.2
24.714,17.1
24.918,19.6
25.11,11.9
25.313,14.4
25.519,19.4
25.716,15.5
25.916,14.1
26.123,19.4
26.318,14.1
26.527,21.8
26.721,16.0
26.921,15.1
27.122,15.2
27.323,15.6
27.524,14.6
27.727,17.5
27.926,16.6
28.133,22.8
28.325,14.9
28.532,20.5
28.731,19.2
28.93,17.5
29.128,13.8
29.336,22.3
29.534,18.8
29.736,19.6
29.944,25.9
30.133,14.8
30.331,10.9
30.545,24.8
30.746,24.6
30.947,24.9
31.149,26.4
31.343,18.7
31.554,29.0
31.75,24.1
31.944,18.0
32.141,13.9
32.356,28.0
32.551,22.3
32.749,19.0
32.964,33.9
33.156,25.4
33.349,17.5
33.749,8.62
33.956,15.0
34.155,13.3
34.357,14.4
34.557,13.3
34.759,14.9
34.96,15.1
35.162,16.6
35.37,22.6
35.561,14.5
35.771,22.7
35.973,24.0
36.169,19.0
36.395,44.4
36.564,12.3
36.764,11.4
36.97,16.8
37.169,14.7
37.368,13.3
37.57,14.1
37.774,18.3
37.973,15.4
38.172,13.4
38.371,11.2
38.58,20.0
38.782,20.6
38.987,25.3
39.178,16.0
39.381,18.3
39.587,23.1
39.785,20.4
39.987,21.9
40.181,15.2
40.38,13.1
40.588,20.2
40.788,19.2
40.994,24.1
41.189,19.4
41.512,141.0
41.581,9.67
41.787,14.1
41.983,9.41
42.189,14.2
42.388,12.7
42.584,7.97
42.789,12.2
42.984,6.56
43.194,15.1
43.394,14.2
43.599,19.1
43.797,15.4
44.004,22.0
44.199,16.0
44.397,13.9
44.6,15.5
44.806,21.1
45.006,20.9
45.198,12.6
45.406,20.3
45.605,17.4
45.804,16.6
46.002,13.4
46.206,17.4
46.408,18.1
46.613,22.8
46.806,15.6
47.004,12.5
47.209,15.8
47.423,29.0
47.62,26.0
47.808,12.9
48.019,23.1
48.216,19.3
48.419,22.1
48.619,21.3
48.816,17.5
49.405,405.0
49.405,201.0
49.419,13.3
49.623,17.0
49.819,12.4
50.023,14.7
50.22,11.0
50.422,12.2
50.63,19.6
50.828,16.6
51.036,24.7
51.23,17.1
51.438,23.7
51.631,16.7
51.843,26.9
52.038,21.6
52.237,19.4
52.432,14.4
52.638,20.0
52.84,21.2
53.086,66.3
53.234,13.6
53.432,9.56
53.636,12.4
53.838,13.3
54.039,13.4
54.242,15.0
54.443,16.0
54.643,15.9
54.848,19.3
55.047,18.1
55.241,11.0
55.53,98.8
55.644,13.0
55.843,11.7
56.044,12.1
56.246,13.2
56.45,15.8
56.652,18.3
56.855,19.6
57.081,44.0
57.267,29.6
57.463,25.9
57.654,16.5
57.865,26.7
58.06,20.4
58.271,30.3
58.467,26.3
58.666,24.4
58.861,18.5
59.065,20.9
59.263,18.0
59.458,14.0
59.661,16.0
59.86,14.6
