time_s,throughput_mbps,retrans
0,152.9275485502664,212
1.001076,121.72684457593306,611
2.00032,84.93593176916251,0
3.000305,0.0,1
4.00026,10.485361265162993,0
5.000298,11.534613069155387,0
6.000274,35.6506575240769,0
7.0003,11.533736531157544,43
8.000352,11.53484339731951,27
9.000308,11.533944138313363,7
10.000342,0.0,1
11.000368,23.06795702216032,0
12.000399,23.06881087583604,0
13.000393,34.60646922117955,0
14.000293,11.522387265856542,13
15.00133,22.043175539628574,7
16.000283,11.53288280810831,0
17.000409,23.070701678563925,1
18.000321,0.0,0
19.000301,11.534681822868162,0
20.000271,11.533897391679293,5
21.000309,23.06996457242072,0
22.000253,23.065419208723558,1
23.000394,23.071718027149565,1
24.000262,23.044612618835,0
25.001306,11.545777713587409,26
26.000315,11.534289250189483,6
27.000319,11.52272070860577,1
28.001327,11.53431262504737,3
29.001329,11.53445150115658,6
30.001319,11.534543628737442,1
31.001301,23.071024864953515,1
32.001199,11.535362528850529,5
33.00111,11.54367499287452,11
34.000301,0.0,1
35.00028,11.534094005077256,5
36.000301,23.068278756703588,0
37.000318,23.068879626868707,6
38.000309,11.534070631105447,1
39.000332,11.533632042966127,5
40.000393,22.021902148133027,0
41.000311,11.533366706461901,16
42.000395,11.534416438060955,6
43.000388,11.534289250189483,11
44.000392,23.070194225439998,0
45.000326,23.046017769104477,1
46.001309,0.0,21
47.000311,11.534693511080846,2
48.00028,0.0,0
49.000268,11.533897391679293,0
50.000306,23.068578500378965,0
51.00031,11.53498228621036,1
52.000254,11.533736531157544,0
53.000306,22.019413521153034,0
54.000337,11.523135137602804,6
55.001309,24.13933527215307,0
56.000394,23.06878750057829,0
57.000389,34.6047735900832,0
58.000338,23.046478871375683,0
59.001301,23.050440170531814,1
