time_s,cwnd_bytes,rtt_ms
0.0,932,24.957
1.0,1394,20.339
2.0,1258,22.249
3.0,1043,22.381
4.0,916,25.927
5.0,1660,42.508
6.0,1250,28.981
7.0,1268,24.314
8.0,1024,20.237
9.0,4,3.511
10.0,1532,27.754
11.0,998,37.396
12.0,1364,16.85
13.0,1206,14.64
14.0,1878,19.633
15.0,1364,26.908
16.0,700,20.673
17.0,818,23.933
18.0,722,22.463
19.0,732,21.953
20.0,934,20.655
21.0,782,18.48
22.0,854,24.533
23.0,850,21.789
24.0,828,21.138
25.0,954,21.9
26.0,744,19.334
27.0,760,21.209
28.0,764,24.435
29.0,1006,22.782
30.0,846,17.91
31.0,744,15.388
32.0,856,21.684
33.0,796,17.307
34.0,857,17.565
35.0,678,16.958
36.0,702,18.894
37.0,726,18.143
38.0,786,17.523
39.0,682,19.002
40.0,854,22.56
41.0,770,25.19
42.0,728,19.317
43.0,421,105.193
44.0,1,105.193
45.0,1746,40.142
46.0,1834,30.242
47.0,2118,21.981
48.0,2208,32.325
49.0,1708,25.216
50.0,880,16.63
51.0,1848,24.335
52.0,1058,19.432
53.0,1140,25.07
54.0,1236,24.915
55.0,1290,22.921
56.0,1696,28.017
57.0,1348,27.744
58.0,1710,19.277
0.0,932,24.957
1.0,1394,20.339
2.0,1258,22.249
3.0,1043,22.381
4.0,916,25.927
5.0,1660,42.508
6.0,1250,28.981
7.0,1268,24.314
8.0,1024,20.237
9.0,4,3.511
10.0,1532,27.754
11.0,998,37.396
12.0,1364,16.85
13.0,1206,14.64
14.0,1878,19.633
15.0,1364,26.908
16.0,700,20.673
17.0,818,23.933
18.0,722,22.463
19.0,732,21.953
20.0,934,20.655
21.0,782,18.48
22.0,854,24.533
23.0,850,21.789
24.0,828,21.138
25.0,954,21.9
26.0,744,19.334
27.0,760,21.209
28.0,764,24.435
29.0,1006,22.782
30.0,846,17.91
31.0,744,15.388
32.0,856,21.684
33.0,796,17.307
34.0,857,17.565
35.0,678,16.958
36.0,702,18.894
37.0,726,18.143
38.0,786,17.523
39.0,682,19.002
40.0,854,22.56
41.0,770,25.19
42.0,728,19.317
43.0,421,105.193
44.0,1,105.193
45.0,1746,40.142
46.0,1834,30.242
47.0,2118,21.981
48.0,2208,32.325
49.0,1708,25.216
50.0,880,16.63
51.0,1848,24.335
52.0,1058,19.432
53.0,1140,25.07
54.0,1236,24.915
55.0,1290,22.921
56.0,1696,28.017
57.0,1348,27.744
58.0,1710,19.277
