time_s,rtt_ms
0.0,5.43
0.464,67.2
0.671,72.7
1.059,54.3
1.243,37.3
1.461,54.7
1.631,23.3
1.863,54.5
2.047,37.9
2.255,45.3
2.448,37.0
2.656,44.2
2.841,28.9
3.048,34.7
3.25,36.9
3.458,43.7
3.643,28.9
3.859,43.9
4.053,37.5
4.245,28.7
4.441,23.0
4.657,38.3
4.88,60.7
5.062,42.2
5.257,36.5
5.463,41.7
5.65,27.5
5.851,27.3
6.063,38.2
6.26,34.4
6.473,46.2
6.661,32.9
6.904,75.9
7.067,39.1
7.253,24.0
7.464,34.4
7.657,27.2
7.854,22.7
8.071,39.6
8.257,24.1
8.449,15.9
8.646,12.0
8.853,18.1
9.051,15.9
9.257,20.9
9.451,13.8
9.657,19.8
9.857,18.7
10.061,22.0
10.264,24.7
10.459,18.5
10.663,21.2
10.869,26.0
11.061,16.6
11.262,17.1
11.473,27.6
11.665,18.3
11.87,22.3
12.065,17.1
12.272,22.9
12.467,18.0
12.673,23.3
12.864,13.2
13.065,12.9
13.29,38.0
13.476,23.0
13.675,21.8
13.882,26.4
14.084,28.0
14.289,32.3
14.483,25.7
14.68,21.2
14.869,9.88
15.089,29.3
15.296,35.2
15.49,29.0
15.682,19.9
15.888,25.6
16.078,13.5
16.282,16.9
16.484,18.0
16.686,19.9
16.881,14.0
17.08,12.1
17.289,20.5
17.488,19.3
17.694,24.2
17.891,20.3
18.087,15.1
18.291,18.7
18.487,14.1
18.682,7.62
18.888,12.8
19.087,11.1
19.296,19.8
19.49,13.5
19.697,19.2
19.895,16.6
20.094,14.0
20.3,19.3
20.493,11.4
20.694,10.8
20.896,12.4
21.1,15.1
21.297,11.7
21.505,19.1
21.702,15.1
21.912,24.7
22.106,18.1
22.304,15.1
22.508,19.0
22.706,15.8
22.909,18.6
23.105,13.9
23.303,11.6
23.518,24.5
23.71,17.6
23.915,21.6
24.11,15.8
24.313,18.7
24.512,17.0
24.716,21.6
24.913,16.7
25.113,16.4
25.319,20.6
25.509,10.2
25.713,13.4
25.917,16.7
26.122,21.0
26.347,44.9
26.513,10.4
26.713,10.4
26.922,17.8
27.12,14.8
27.321,15.2
27.516,9.74
27.725,19.3
27.924,17.1
28.125,17.5
28.324,15.5
28.53,20.6
28.727,17.4
28.926,15.5
29.127,16.0
29.327,14.9
29.532,19.8
29.732,18.4
29.941,26.9
30.129,13.9
30.34,24.2
30.536,19.5
30.744,26.2
30.939,20.4
31.149,28.9
31.339,18.8
31.536,15.2
31.745,23.5
31.945,22.4
32.162,38.3
32.336,11.3
32.54,14.5
32.741,13.9
32.942,14.9
33.142,13.8
33.346,17.3
33.545,15.2
33.748,17.1
33.949,17.6
34.352,220.0
34.352,19.0
34.546,11.5
34.746,11.5
34.949,13.2
35.147,10.1
35.353,15.4
35.55,10.8
35.758,18.8
35.953,13.7
36.167,25.4
36.364,22.2
36.56,17.0
36.763,18.8
36.96,15.6
37.212,66.4
37.357,10.5
37.561,13.6
37.763,15.0
37.964,15.3
38.164,14.6
38.364,14.2
38.567,16.2
38.772,20.1
38.969,16.0
39.169,15.4
39.373,18.0
39.574,17.6
39.769,11.9
39.976,18.1
40.18,20.9
40.374,13.9
40.578,17.4
40.769,8.12
40.97,8.03
41.176,13.4
41.377,13.5
41.578,13.0
41.78,14.5
41.98,12.9
42.179,11.2
42.383,14.4
42.582,12.8
42.783,13.2
42.986,15.9
43.245,74.3
43.384,11.8
43.587,14.3
43.787,13.8
43.993,18.9
44.189,14.5
44.39,14.4
44.59,13.1
44.792,13.9
44.993,14.3
45.198,18.7
45.402,21.5
45.603,21.8
45.803,21.7
46.008,24.7
46.205,21.2
46.559,174.0
46.596,11.7
46.799,12.7
47.002,15.7
47.2,12.8
47.398,10.6
47.598,9.6
47.8,10.4
48.006,15.0
48.643,451.0
48.643,246.0
48.643,37.9
48.815,8.93
49.022,16.1
49.226,19.3
49.422,14.1
49.621,12.7
49.825,15.6
50.029,18.3
50.229,18.5
50.431,18.8
50.629,16.2
50.831,17.9
51.032,18.0
51.237,22.4
51.435,18.9
51.637,20.1
51.829,11.6
52.032,14.3
52.246,27.4
52.442,22.7
52.637,17.2
52.842,21.1
53.051,29.4
53.324,102.0
53.438,14.0
53.639,14.6
53.841,16.4
54.044,18.2
54.243,15.7
54.446,19.4
54.641,12.6
54.839,10.8
55.044,15.4
55.245,14.4
55.453,23.1
55.655,23.9
55.847,14.8
56.046,13.3
56.251,17.2
56.457,22.2
56.659,22.7
56.855,18.1
57.068,30.3
57.268,29.1
57.455,15.4
57.664,23.3
57.861,18.9
58.066,24.1
58.27,27.7
58.46,15.6
58.668,23.1
58.876,30.5
59.069,23.0
59.265,18.7
59.471,23.3
59.668,19.2
59.871,21.8
0.0,5.43
0.464,67.2
0.671,72.7
1.059,54.3
1.243,37.3
1.461,54.7
1.631,23.3
1.863,54.5
2.047,37.9
2.255,45.3
2.448,37.0
2.656,44.2
2.841,28.9
3.048,34.7
3.25,36.9
3.458,43.7
3.643,28.9
3.859,43.9
4.053,37.5
4.245,28.7
4.441,23.0
4.657,38.3
4.88,60.7
5.062,42.2
5.257,36.5
5.463,41.7
5.65,27.5
5.851,27.3
6.063,38.2
6.26,34.4
6.473,46.2
6.661,32.9
6.904,75.9
7.067,39.1
7.253,24.0
7.464,34.4
7.657,27.2
7.854,22.7
8.071,39.6
8.257,24.1
8.449,15.9
8.646,12.0
8.853,18.1
9.051,15.9
9.257,20.9
9.451,13.8
9.657,19.8
9.857,18.7
10.061,22.0
10.264,24.7
10.459,18.5
10.663,21.2
10.869,26.0
11.061,16.6
11.262,17.1
11.473,27.6
11.665,18.3
11.87,22.3
12.065,17.1
12.272,22.9
12.467,18.0
12.673,23.3
12.864,13.2
13.065,12.9
13.29,38.0
13.476,23.0
13.675,21.8
13.882,26.4
14.084,28.0
14.289,32.3
14.483,25.7
14.68,21.2
14.869,9.88
15.089,29.3
15.296,35.2
15.49,29.0
15.682,19.9
15.888,25.6
16.078,13.5
16.282,16.9
16.484,18.0
16.686,19.9
