time_s,cwnd_bytes,rtt_ms
0.0,542,17.986
1.0,592,45.068
2.0,434,53.956
3.0,309,59.458
4.0,162,47.624
5.0,206,46.426
6.0,227,66.36
7.0,176,49.328
8.0,202,86.741
9.0,220,57.317
10.0,330,60.588
11.0,262,53.722
12.0,214,235.152
13.0,165,49.14
14.0,214,57.511
15.0,204,51.325
16.0,232,69.184
17.0,272,44.222
18.0,243,56.142
19.0,147,48.938
20.0,175,54.492
21.0,280,64.336
22.0,417,53.966
23.0,55,160.807
24.0,373,48.36
25.0,411,57.983
26.0,433,59.031
27.0,504,66.074
28.0,693,52.81
29.0,800,51.395
30.0,592,114.719
31.0,449,103.785
32.0,121,252.576
33.0,1,33.591
34.0,197,43.156
35.0,221,50.67
36.0,1,46.147
37.0,294,39.097
38.0,242,51.892
39.0,266,49.493
40.0,1,42.724
41.0,284,46.167
42.0,279,45.592
43.0,159,48.981
44.0,195,54.741
45.0,147,47.042
46.0,194,70.783
47.0,276,141.498
48.0,367,49.124
49.0,463,62.658
50.0,283,48.798
51.0,153,48.562
52.0,111,39.086
53.0,89,43.224
54.0,106,49.901
55.0,112,61.715
56.0,86,40.727
57.0,102,61.198
58.0,110,74.863
0.0,542,17.986
1.0,592,45.068
2.0,434,53.956
3.0,309,59.458
4.0,162,47.624
5.0,206,46.426
6.0,227,66.36
7.0,176,49.328
8.0,202,86.741
9.0,220,57.317
10.0,330,60.588
11.0,262,53.722
12.0,214,235.152
13.0,165,49.14
14.0,214,57.511
15.0,204,51.325
16.0,232,69.184
17.0,272,44.222
18.0,243,56.142
19.0,147,48.938
20.0,175,54.492
21.0,280,64.336
22.0,417,53.966
23.0,55,160.807
24.0,373,48.36
25.0,411,57.983
26.0,433,59.031
27.0,504,66.074
28.0,693,52.81
29.0,800,51.395
30.0,592,114.719
31.0,449,103.785
32.0,121,252.576
33.0,1,33.591
34.0,197,43.156
35.0,221,50.67
36.0,1,46.147
37.0,294,39.097
38.0,242,51.892
39.0,266,49.493
40.0,1,42.724
41.0,284,46.167
42.0,279,45.592
43.0,159,48.981
44.0,195,54.741
45.0,147,47.042
46.0,194,70.783
47.0,276,141.498
48.0,367,49.124
49.0,463,62.658
50.0,283,48.798
51.0,153,48.562
52.0,111,39.086
53.0,89,43.224
54.0,106,49.901
55.0,112,61.715
56.0,86,40.727
57.0,102,61.198
58.0,110,74.863
