time_s,throughput_mbps,retrans
0,199.1541572078483,0
1.000378,154.14590905292698,0
2.000344,160.314939164027,0
3.001075,215.1159690110494,0
4.000341,205.5089651926421,50
5.000399,209.7303010873147,0
6.000327,167.64625455731976,0
7.001078,235.92983906274225,0
8.001077,246.38407959629416,0
9.001204,239.26985615281896,0
10.000391,143.66166813022772,0
11.000344,206.40641094322862,0
12.001134,228.59139376458242,59
13.001126,255.85101900908964,0
14.001132,233.81817687104058,0
15.001193,189.80289034582498,0
16.001137,159.504141168464,10
17.000381,165.55813101017733,0
18.001087,168.8129681074379,0
19.001133,218.2775613111161,0
20.000337,194.8872155224629,0
21.001096,212.8651910853775,0
22.001076,184.54827600655648,0
23.001082,157.39531912311432,0
24.00039,158.21553080044373,0
25.001145,170.90729365673096,0
26.001207,159.40172757244574,0
27.001093,176.139980453288,0
28.001211,173.0171128373337,0
29.001199,154.15315882396663,0
30.001118,183.50134687662984,0
31.001115,213.90414913405343,0
32.00114,205.67185329836917,60
33.000406,160.44479931323158,0
34.000327,169.72080694135983,0
35.001202,170.00939542518557,0
36.000378,233.83268493774008,0
37.000377,205.51864202471992,0
38.000388,182.4498532808047,0
39.000401,196.09881341294775,0
40.000324,179.2957450196532,0
41.000384,193.82588194911548,0
42.001213,210.7816916477624,0
43.001128,193.07912317151545,0
44.000397,169.87202554334627,0
45.000381,220.19941126089282,0
46.000388,234.70922974395324,0
47.00112,210.9171122876518,0
48.000393,184.54882600163913,0
49.000396,193.989080657753,0
50.000383,157.157374679063,0
51.001204,184.69990167455745,45
52.000389,175.0964327933761,0
53.000479,130.03551512427197,0
54.000386,192.9381795001981,0
55.000385,219.15282812590007,0
56.000383,201.32517600995916,35
57.00039,247.46591251578647,0
58.000382,221.07156889214033,55
59.001187,220.01285582324454,0
0,228.48720835594443,0
1.000448,202.39015073415638,0
2.000374,199.21568969907574,0
3.000443,54.52136988509262,1
4.000527,187.69398525666824,55
5.000533,154.05255914757086,1
6.001105,225.59702401441407,0
7.000426,151.93792463773752,97
8.001121,200.2634055659201,85
9.001194,262.34889439745484,0
10.000413,179.1808990372692,0
11.001114,215.99022874938322,49
12.00119,269.505059453114,0
13.001112,236.10054095176108,0
14.000388,239.0624181971527,0
15.000442,236.97795000021554,0
16.000443,244.15585670539872,0
17.001108,240.28081421684166,0
18.000455,229.63860937594313,0
19.000453,239.96408256963676,0
20.001119,189.91816841522328,0
21.000456,242.2256616500713,0
22.000437,217.9566952956319,55
23.001112,230.85478485308383,0
24.000384,221.087474918677,0
25.001117,210.76166552113347,141
26.001127,207.75952872097523,56
27.000446,225.4460975226059,0
28.000436,234.87679607610517,0
29.000454,225.450384252463,0
30.000425,147.8474358964327,0
31.000437,239.96216726206924,0
32.001111,247.62686845559224,0
33.000453,234.72351769131512,0
34.001124,200.28182413490742,0
35.001105,227.69173048071394,45
36.000443,235.9470669180579,0
37.000369,242.20482933711534,0
38.000436,205.51945051016665,0
39.000443,203.423744,52
40.000443,167.75722133027867,0
41.000532,228.60649150282947,0
42.000458,240.12918542866032,0
43.000436,244.31698475612453,0
44.000441,224.395264,0
45.000441,210.62477573220187,55
46.001101,204.61022920208794,17
47.000427,250.61366731394912,0
48.000411,200.27581952408931,51
49.000422,218.09834813668195,0
50.000447,209.6978014435524,0
51.00053,206.58950638036924,0
52.000433,225.44045380086195,0
53.000448,228.42123255511382,0
54.001185,235.06437100816947,0
55.000405,249.3867558657059,0
56.001104,240.28465504285484,0
57.000435,241.0098072980545,0
58.00111,236.08471285005487,0
59.000453,247.22165394115902,0
0,228.48720835594443,0
1.000448,202.39015073415638,0
2.000374,199.21568969907574,0
3.000443,54.52136988509262,1
4.000527,187.69398525666824,55
5.000533,154.05255914757086,1
6.001105,225.59702401441407,0
7.000426,151.93792463773752,97
8.001121,200.2634055659201,85
9.001194,262.34889439745484,0
10.000413,179.1808990372692,0
11.001114,215.99022874938322,49
12.00119,269.505059453114,0
13.001112,236.10054095176108,0
14.000388,239.0624181971527,0
15.000442,236.97795000021554,0
16.000443,244.15585670539872,0
17.001108,240.28081421684166,0
18.000455,229.63860937594313,0
19.000453,239.96408256963676,0
20.001119,189.91816841522328,0
21.000456,242.2256616500713,0
22.000437,217.9566952956319,55
23.001112,230.85478485308383,0
24.000384,221.087474918677,0
25.001117,210.76166552113347,141
26.001127,207.75952872097523,56
27.000446,225.4460975226059,0
28.000436,234.87679607610517,0
29.000454,225.450384252463,0
30.000425,147.8474358964327,0
31.000437,239.96216726206924,0
32.001111,247.62686845559224,0
33.000453,234.72351769131512,0
34.001124,200.28182413490742,0
35.001105,227.69173048071394,45
36.000443,235.9470669180579,0
37.000369,242.20482933711534,0
38.000436,205.51945051016665,0
39.000443,203.423744,52
40.000443,167.75722133027867,0
41.000532,228.60649150282947,0
42.000458,240.12918542866032,0
43.000436,244.31698475612453,0
44.000441,224.395264,0
45.000441,210.62477573220187,55
46.001101,204.61022920208794,17
47.000427,250.61366731394912,0
48.000411,200.27581952408931,51
49.000422,218.09834813668195,0
50.000447,209.6978014435524,0
51.00053,206.58950638036924,0
52.000433,225.44045380086195,0
53.000448,228.42123255511382,0
54.001185,235.06437100816947,0
55.000405,249.3867558657059,0
56.001104,240.28465504285484,0
57.000435,241.0098072980545,0
58.00111,236.08471285005487,0
59.000453,247.22165394115902,0
0,228.48720835594443,0
1.000448,202.39015073415638,0
2.000374,199.21568969907574,0
3.000443,54.52136988509262,1
4.000527,187.69398525666824,55
5.000533,154.05255914757086,1
6.001105,225.59702401441407,0
7.000426,151.93792463773752,97
8.001121,200.2634055659201,85
9.001194,262.34889439745484,0
10.000413,179.1808990372692,0
11.001114,215.99022874938322,49
12.00119,269.505059453114,0
13.001112,236.10054095176108,0
14.000388,239.0624181971527,0
15.000442,236.97795000021554,0
16.000443,244.15585670539872,0
17.001108,240.28081421684166,0
18.000455,229.63860937594313,0
19.000453,239.96408256963676,0
20.001119,189.91816841522328,0
21.000456,242.2256616500713,0
22.000437,217.9566952956319,55
23.001112,230.85478485308383,0
24.000384,221.087474918677,0
25.001117,210.76166552113347,141
26.001127,207.75952872097523,56
27.000446,225.4460975226059,0
28.000436,234.87679607610517,0
29.000454,225.450384252463,0
30.000425,147.8474358964327,0
31.000437,239.96216726206924,0
32.001111,247.62686845559224,0
33.000453,234.72351769131512,0
34.001124,200.28182413490742,0
35.001105,227.69173048071394,45
36.000443,235.9470669180579,0
37.000369,242.20482933711534,0
38.000436,205.51945051016665,0
39.000443,203.423744,52
40.000443,167.75722133027867,0
41.000532,228.60649150282947,0
42.000458,240.12918542866032,0
43.000436,244.31698475612453,0
44.000441,224.395264,0
45.000441,210.62477573220187,55
46.001101,204.61022920208794,17
47.000427,250.61366731394912,0
48.000411,200.27581952408931,51
49.000422,218.09834813668195,0
50.000447,209.6978014435524,0
51.00053,206.58950638036924,0
52.000433,225.44045380086195,0
53.000448,228.42123255511382,0
54.001185,235.06437100816947,0
55.000405,249.3867558657059,0
56.001104,240.28465504285484,0
57.000435,241.0098072980545,0
58.00111,236.08471285005487,0
59.000453,247.22165394115902,0
0,228.48720835594443,0
1.000448,202.39015073415638,0
2.000374,199.21568969907574,0
3.000443,54.52136988509262,1
4.000527,187.69398525666824,55
5.000533,154.05255914757086,1
6.001105,225.59702401441407,0
7.000426,151.93792463773752,97
8.001121,200.2634055659201,85
9.001194,262.34889439745484,0
10.000413,179.1808990372692,0
11.001114,215.99022874938322,49
12.00119,269.505059453114,0
13.001112,236.10054095176108,0
14.000388,239.0624181971527,0
15.000442,236.97795000021554,0
16.000443,244.15585670539872,0
17.001108,240.28081421684166,0
18.000455,229.63860937594313,0
19.000453,239.96408256963676,0
20.001119,189.91816841522328,0
21.000456,242.2256616500713,0
22.000437,217.9566952956319,55
23.001112,230.85478485308383,0
24.000384,221.087474918677,0
25.001117,210.76166552113347,141
26.001127,207.75952872097523,56
27.000446,225.4460975226059,0
28.000436,234.87679607610517,0
29.000454,225.450384252463,0
30.000425,147.8474358964327,0
31.000437,239.96216726206924,0
32.001111,247.62686845559224,0
33.000453,234.72351769131512,0
34.001124,200.28182413490742,0
35.001105,227.69173048071394,45
36.000443,235.9470669180579,0
37.000369,242.20482933711534,0
38.000436,205.51945051016665,0
39.000443,203.423744,52
40.000443,167.75722133027867,0
41.000532,228.60649150282947,0
42.000458,240.12918542866032,0
43.000436,244.31698475612453,0
44.000441,224.395264,0
45.000441,210.62477573220187,55
46.001101,204.61022920208794,17
47.000427,250.61366731394912,0
48.000411,200.27581952408931,51
49.000422,218.09834813668195,0
50.000447,209.6978014435524,0
51.00053,206.58950638036924,0
52.000433,225.44045380086195,0
53.000448,228.42123255511382,0
54.001185,235.06437100816947,0
55.000405,249.3867558657059,0
56.001104,240.28465504285484,0
57.000435,241.0098072980545,0
58.00111,236.08471285005487,0
59.000453,247.22165394115902,0
0,228.48720835594443,0
1.000448,202.39015073415638,0
2.000374,199.21568969907574,0
3.000443,54.52136988509262,1
4.000527,187.69398525666824,55
5.000533,154.05255914757086,1
6.001105,225.59702401441407,0
7.000426,151.93792463773752,97
8.001121,200.2634055659201,85
9.001194,262.34889439745484,0
10.000413,179.1808990372692,0
11.001114,215.99022874938322,49
12.00119,269.505059453114,0
13.001112,236.10054095176108,0
14.000388,239.0624181971527,0
15.000442,236.97795000021554,0
16.000443,244.15585670539872,0
17.001108,240.28081421684166,0
18.000455,229.63860937594313,0
19.000453,239.96408256963676,0
20.001119,189.91816841522328,0
21.000456,242.2256616500713,0
22.000437,217.9566952956319,55
23.001112,230.85478485308383,0
24.000384,221.087474918677,0
25.001117,210.76166552113347,141
26.001127,207.75952872097523,56
27.000446,225.4460975226059,0
28.000436,234.87679607610517,0
29.000454,225.450384252463,0
30.000425,147.8474358964327,0
31.000437,239.96216726206924,0
32.001111,247.62686845559224,0
33.000453,234.72351769131512,0
34.001124,200.28182413490742,0
35.001105,227.69173048071394,45
36.000443,235.9470669180579,0
37.000369,242.20482933711534,0
38.000436,205.51945051016665,0
39.000443,203.423744,52
40.000443,167.75722133027867,0
41.000532,228.60649150282947,0
42.000458,240.12918542866032,0
43.000436,244.31698475612453,0
44.000441,224.395264,0
45.000441,210.62477573220187,55
46.001101,204.61022920208794,17
47.000427,250.61366731394912,0
48.000411,200.27581952408931,51
49.000422,218.09834813668195,0
50.000447,209.6978014435524,0
51.00053,206.58950638036924,0
52.000433,225.44045380086195,0
53.000448,228.42123255511382,0
54.001185,235.06437100816947,0
55.000405,249.3867558657059,0
56.001104,240.28465504285484,0
57.000435,241.0098072980545,0
58.00111,236.08471285005487,0
59.000453,247.22165394115902,0
0,197.95835398168788,0
1.001124,177.2100516903262,0
2.00112,192.93625901542256,0
3.001129,213.8958113765386,0
4.001193,168.9530306526816,0
5.00041,203.42618115419842,0
6.000398,193.84910995989304,0
7.001107,148.88364659395225,0
8.001202,235.0808478546404,0
9.000352,225.27578162352086,0
10.001098,81.78222055011815,1
11.00118,87.03789855119149,0
12.00111,215.1209220179861,0
13.000353,199.0781487251993,0
14.001113,212.8134619618527,0
15.001336,240.17770242553823,0
16.001112,101.69377259632226,36
17.00129,101.71949919690739,21
18.001215,239.09565022731257,0
19.00113,239.08034410524206,0
20.001109,166.83920744222848,0
21.000416,221.07599285518367,0
22.001201,236.99548038849187,0
23.001128,221.2508679455184,0
24.001122,147.8496566263132,305
25.001119,241.32523919677433,0
26.000486,187.5765466838734,20
27.001118,213.9105750053623,0
28.001113,202.3721282956575,50
29.001128,200.42372361662436,0
30.000401,166.6859095152177,0
31.000627,226.37966615578284,0
32.001125,246.59314818132887,0
33.000404,252.714392664657,0
34.000374,230.6597456544963,41
35.000491,238.9205023303933,0
36.001139,224.5403159528566,30
37.000493,200.15272680202608,61
38.001119,219.1339674227761,55
39.001203,205.54063264517353,0
40.001107,180.3386689919633,0
41.001198,181.38025276762122,0
42.001327,211.99042570838574,51
43.000487,231.568809320802,0
44.001206,221.26524342755664,0
45.001135,243.42591183190666,0
46.000493,206.43591852726084,55
47.00114,219.312477302102,0
48.00041,242.04484465881782,0
49.001138,254.9311812306852,0
50.000639,199.1310685957979,0
51.001133,157.25385673474176,0
52.00134,194.02944322779467,0
53.001119,120.57623583004263,52
54.001202,154.1528463989872,0
55.001123,138.3851917057694,1
56.001317,158.3550898673131,75
57.00119,209.68562917021416,0
58.001331,173.05311181332726,0
59.001111,197.9646950472211,0
