time_s,cwnd_bytes,rtt_ms
0.0,98,39.698
1.0,84,50.249
2.0,33,78.652
3.0,34,68.174
4.0,34,60.585
5.0,24,45.738
6.0,15,49.651
7.0,26,49.229
8.0,15,54.08
9.0,4,37.806
10.0,36,43.942
11.0,44,39.98
12.0,48,40.076
13.0,36,48.185
14.0,76,43.301
15.0,100,28.834
16.0,102,33.226
17.0,70,36.398
18.0,116,45.752
19.0,100,34.058
20.0,84,47.613
21.0,130,40.514
22.0,83,43.655
23.0,84,45.72
24.0,120,39.945
25.0,134,39.93
26.0,190,33.003
27.0,162,29.091
28.0,148,39.648
29.0,118,27.738
30.0,150,27.156
31.0,134,25.544
32.0,118,31.057
33.0,112,24.912
34.0,144,28.384
35.0,178,36.894
36.0,152,35.825
37.0,176,33.252
38.0,148,21.146
39.0,126,32.949
40.0,138,29.465
41.0,124,29.521
42.0,128,36.649
43.0,174,21.69
44.0,204,41.222
45.0,224,38.08
46.0,230,38.956
47.0,230,34.741
48.0,244,31.846
49.0,193,27.473
50.0,212,33.734
51.0,202,39.157
52.0,224,37.907
53.0,260,43.147
54.0,198,32.747
55.0,230,55.283
56.0,230,938.127
57.0,146,37.123
58.0,102,22.149
0.0,98,39.698
1.0,84,50.249
2.0,33,78.652
3.0,34,68.174
4.0,34,60.585
5.0,24,45.738
6.0,15,49.651
7.0,26,49.229
8.0,15,54.08
9.0,4,37.806
10.0,36,43.942
11.0,44,39.98
12.0,48,40.076
13.0,36,48.185
14.0,76,43.301
15.0,100,28.834
16.0,102,33.226
17.0,70,36.398
18.0,116,45.752
19.0,100,34.058
20.0,84,47.613
21.0,130,40.514
22.0,83,43.655
23.0,84,45.72
24.0,120,39.945
25.0,134,39.93
26.0,190,33.003
27.0,162,29.091
28.0,148,39.648
29.0,118,27.738
30.0,150,27.156
31.0,134,25.544
32.0,118,31.057
33.0,112,24.912
34.0,144,28.384
35.0,178,36.894
36.0,152,35.825
37.0,176,33.252
38.0,148,21.146
39.0,126,32.949
40.0,138,29.465
41.0,124,29.521
42.0,128,36.649
43.0,174,21.69
44.0,204,41.222
45.0,224,38.08
46.0,230,38.956
47.0,230,34.741
48.0,244,31.846
49.0,193,27.473
50.0,212,33.734
51.0,202,39.157
52.0,224,37.907
53.0,260,43.147
54.0,198,32.747
55.0,230,55.283
56.0,230,938.127
57.0,146,37.123
58.0,102,22.149
