time_s,throughput_mbps,retrans
0,314.2346888019173,0
1.001076,239.0490253940803,5
2.001186,157.2629659919393,133
3.001335,48.244434047174636,42
4.001129,23.08305245884966,1
5.000506,0.0,11
6.000428,51.340949918337586,0
7.001193,23.070286362966424,15
8.001123,46.16846197380446,0
9.000449,37.74930300851668,0
10.000434,24.10090895194701,32
11.001112,11.542600166903785,1
12.000396,11.534059631622082,5
13.00042,11.534463188902494,0
14.000409,23.068419002774686,0
15.00042,33.55436400013781,0
16.000422,23.0522579374213,2
17.001134,23.068948378311163,0
18.001122,11.5335165582203,5
19.001193,11.542439063541076,0
20.000491,11.535097112719999,24
21.000425,23.068394253344106,0
22.000437,11.534485876947473,0
23.000424,12.583164005046944,26
24.000404,11.533182490370104,1
25.000504,11.535258698806155,0
26.000424,11.534463188902494,1
27.000413,0.0,0
28.001107,11.534289250189483,14
29.001111,10.493126421400978,0
30.000409,11.521846663067429,1
31.001493,23.073009565432155,1
32.001305,3.146322674897319,38
33.001116,24.133779073398085,0
34.000431,11.524320953433213,0
35.0013,35.651333251763596,1
36.001307,23.072894022572118,41
37.001124,34.60293787514211,34
38.001126,34.60051667938109,1
39.001198,23.066342985161253,45
40.001299,11.544575769937541,95
41.000412,11.534289250189483,1
42.000416,11.534970597412432,7
43.000361,11.533632042966127,0
44.000422,11.534347687511843,1
45.000421,11.526440658124258,1
46.001106,11.531464340124307,1
47.001355,34.608371331166566,0
48.0012,23.066202764331535,1
49.001307,23.072964173456274,59
50.001121,11.53432500001049,11
51.001122,11.533539929946489,5
52.001191,24.11488498155226,0
53.001289,10.486714461871582,0
54.001198,11.535224318408691,0
55.001121,12.582849000315425,15
56.001126,0.0,1
57.000399,11.534647445909322,0
58.000372,11.523803501467974,9
59.001286,11.523745857176188,14
0,314.2346888019173,0
1.001076,239.0490253940803,5
2.001186,157.2629659919393,133
3.001335,48.244434047174636,42
4.001129,23.08305245884966,1
5.000506,0.0,11
6.000428,51.340949918337586,0
7.001193,23.070286362966424,15
8.001123,46.16846197380446,0
9.000449,37.74930300851668,0
10.000434,24.10090895194701,32
11.001112,11.542600166903785,1
12.000396,11.534059631622082,5
13.00042,11.534463188902494,0
14.000409,23.068419002774686,0
15.00042,33.55436400013781,0
16.000422,23.0522579374213,2
17.001134,23.068948378311163,0
18.001122,11.5335165582203,5
19.001193,11.542439063541076,0
20.000491,11.535097112719999,24
21.000425,23.068394253344106,0
22.000437,11.534485876947473,0
23.000424,12.583164005046944,26
24.000404,11.533182490370104,1
25.000504,11.535258698806155,0
26.000424,11.534463188902494,1
27.000413,0.0,0
28.001107,11.534289250189483,14
29.001111,10.493126421400978,0
30.000409,11.521846663067429,1
31.001493,23.073009565432155,1
32.001305,3.146322674897319,38
33.001116,24.133779073398085,0
34.000431,11.524320953433213,0
35.0013,35.651333251763596,1
36.001307,23.072894022572118,41
37.001124,34.60293787514211,34
38.001126,34.60051667938109,1
39.001198,23.066342985161253,45
40.001299,11.544575769937541,95
41.000412,11.534289250189483,1
42.000416,11.534970597412432,7
43.000361,11.533632042966127,0
44.000422,11.534347687511843,1
45.000421,11.526440658124258,1
46.001106,11.531464340124307,1
47.001355,34.608371331166566,0
48.0012,23.066202764331535,1
49.001307,23.072964173456274,59
50.001121,11.53432500001049,11
51.001122,11.533539929946489,5
52.001191,24.11488498155226,0
53.001289,10.486714461871582,0
54.001198,11.535224318408691,0
55.001121,12.582849000315425,15
56.001126,0.0,1
57.000399,11.534647445909322,0
58.000372,11.523803501467974,9
59.001286,11.523745857176188,14
