time_s,throughput_mbps,retrans
0,79.64478822122825,0
1.00059,46.13706900163912,0
2.000596,74.4087937379216,0
3.001135,74.4532139379202,0
4.001077,37.74458295696005,133
5.001187,75.49731900031006,45
6.001189,11.53275634136817,0
7.001326,11.533689786206303,1
8.001382,23.075017995249155,1
9.001107,24.129965077208322,0
10.00058,11.534289250189483,0
11.000584,26.19870627595941,69
12.001183,47.17884481103274,0
13.001333,23.071810176847908,40
14.001197,24.118671208981567,46
15.001138,23.064036431688333,1
16.001339,23.085824118542053,20
17.000596,34.6005496746609,0
18.000667,36.68332397698981,0
19.001126,34.62142561014286,45
20.000594,34.58436892044242,0
21.001133,11.540290760140808,24
22.000617,11.527764496143751,1
23.001187,11.541953715209036,0
24.000527,11.534232875922,0
25.000536,11.533863019395987,6
26.000577,0.0,1
27.001193,11.541133879039803,4
28.000604,23.067357574898622,0
29.000661,23.056520654054218,0
30.001188,11.5330436448171,23
31.0013,11.535570194546892,1
32.001193,11.54038298102392,1
33.000669,34.603389566707484,0
34.000658,36.68050053678353,25
35.001194,34.598198918452866,0
36.001333,23.07317187759492,1
37.001138,46.13822126668025,0
38.001119,22.02040444182037,0
39.001105,24.1298442004368,0
40.000583,23.06883287612191,96
41.000576,47.1566825024682,0
42.001196,34.60539653986222,0
43.001127,34.59570829024199,0
44.001338,0.0,21
45.000637,35.63423120029197,0
46.001124,34.602834750867416,0
47.001129,33.552252141623356,0
48.001194,11.54122611339854,11
49.000597,11.528283677455484,35
50.001122,24.115704223825432,0
51.001186,11.534889464056167,1
52.001138,22.01668402876027,38
53.001293,0.0,8
54.001104,11.540371281278011,26
55.000581,11.528617461565783,0
56.001077,11.534036257789587,0
57.001103,11.534347687511843,0
58.001102,11.534336,1
59.001102,11.520706624001432,1
