time_s,cwnd_bytes,rtt_ms
0.0,10,3.95
1.0,10,3.95
2.0,10,3.95
3.0,10,3.95
4.0,10,3.95
5.0,10,3.95
6.0,10,3.95
7.0,10,3.95
8.0,10,3.95
9.0,10,3.95
10.0,10,3.95
11.0,10,3.95
12.0,10,3.95
13.0,10,3.95
14.0,10,3.95
15.0,10,3.95
16.0,10,3.95
17.0,10,3.95
18.0,10,3.95
19.0,10,3.95
20.0,10,3.95
21.0,10,3.95
22.0,10,3.95
23.0,10,3.95
24.0,10,3.95
25.0,10,3.95
26.0,10,3.95
27.0,10,3.95
28.0,10,3.95
29.0,10,3.95
30.0,10,3.95
31.0,10,3.95
32.0,10,3.95
33.0,10,3.95
34.0,10,3.95
35.0,10,3.95
36.0,10,3.95
37.0,10,3.95
38.0,10,3.95
39.0,10,3.95
40.0,10,3.95
41.0,10,3.95
42.0,10,3.95
43.0,10,3.95
44.0,10,3.95
45.0,10,3.95
46.0,10,3.95
47.0,10,3.95
48.0,10,3.95
49.0,10,3.95
50.0,10,3.95
51.0,10,3.95
52.0,10,3.95
53.0,10,3.95
54.0,10,3.95
55.0,10,3.95
56.0,10,3.95
57.0,10,3.95
58.0,10,3.95
0.0,10,3.95
1.0,10,3.95
2.0,10,3.95
3.0,10,3.95
4.0,10,3.95
5.0,10,3.95
6.0,10,3.95
7.0,10,3.95
8.0,10,3.95
9.0,10,3.95
10.0,10,3.95
11.0,10,3.95
12.0,10,3.95
13.0,10,3.95
14.0,10,3.95
15.0,10,3.95
16.0,10,3.95
17.0,10,3.95
18.0,10,3.95
19.0,10,3.95
20.0,10,3.95
21.0,10,3.95
22.0,10,3.95
23.0,10,3.95
24.0,10,3.95
25.0,10,3.95
26.0,10,3.95
27.0,10,3.95
28.0,10,3.95
29.0,10,3.95
30.0,10,3.95
31.0,10,3.95
32.0,10,3.95
33.0,10,3.95
34.0,10,3.95
35.0,10,3.95
36.0,10,3.95
37.0,10,3.95
38.0,10,3.95
39.0,10,3.95
40.0,10,3.95
41.0,10,3.95
42.0,10,3.95
43.0,10,3.95
44.0,10,3.95
45.0,10,3.95
46.0,10,3.95
47.0,10,3.95
48.0,10,3.95
49.0,10,3.95
50.0,10,3.95
51.0,10,3.95
52.0,10,3.95
53.0,10,3.95
54.0,10,3.95
55.0,10,3.95
56.0,10,3.95
57.0,10,3.95
58.0,10,3.95
