time_s,throughput_mbps,retrans
0,167.734588415819,0
1.000224,49.2382630281233,0
2.001134,39.84684514799134,0
3.00111,37.74783152167226,0
4.001134,39.84684514799134,0
5.00111,46.14015742154993,0
6.001049,39.843019206560044,0
7.001121,33.55486800566538,0
8.001108,44.040060750391156,0
9.001111,46.13739075004737,0
10.00111,44.04015000004006,0
11.001111,35.65165625014642,0
12.001109,39.84556975254185,0
13.001117,35.65197712933498,0
14.001106,31.4571862502794,0
15.001109,36.70008562515073,0
16.001111,37.7839881399471,0
17.000178,33.52332087250514,0
18.001106,39.846047125635465,0
19.001102,33.585701112311256,0
20.000171,46.09419838564728,0
21.001107,41.98317586984733,0
22.000151,33.52235070219264,0
23.001108,34.59999701202455,0
24.001195,35.65493544002371,0
25.001101,35.651265252849825,0
26.00111,39.846047125635465,0
27.001106,37.748736,0
28.001106,33.58556485927125,0
29.000179,37.71377640654453,0
30.001106,46.13715700075793,0
31.00111,37.74884850033528,0
32.001107,34.602764626711725,0
33.001114,31.457343750129194,0
34.001112,37.74843450240807,0
35.00112,37.74907575305788,0
36.001111,48.2346397504284,0
37.001108,39.846047125635465,0
38.001104,37.78406478305028,0
39.000169,37.713322753448374,0
40.001108,39.845850000036236,0
41.001109,37.74870000003433,0
42.00111,44.04023662504522,0
43.001109,33.55446600003445,0
44.001108,39.84596875016364,0
45.001106,39.8460067503539,0
46.001103,34.602801751229336,0
47.001109,40.8944250000372,0
48.00111,32.50598581301841,0
49.001106,31.4573118750323,0
50.001105,35.68495007288082,0
51.00017,39.84764082710376,0
52.000126,38.79568406831073,0
53.000168,35.65315231898757,0
54.000124,37.71166544035278,0
55.001107,37.74884850033528,0
56.001104,39.845052017539615,0
57.001125,35.652119508043526,0
58.00111,32.505856,0
59.00111,33.55480200407998,0
