time_s,throughput_mbps,retrans
0,533.1328570933059,0
1.001111,668.921235628142,75
2.001216,671.2537606177515,0
3.00097,657.3644474486213,0
4.001111,661.7215833068857,38
5.001005,683.7180509123398,0
6.000937,638.6159762251742,0
7.000885,651.1253335020241,18
8.000947,549.3631869538126,0
9.001112,601.883843752472,0
10.00111,664.8217920358537,0
11.001073,666.8703278643219,0
12.001109,657.4565250005979,0
13.00111,674.234368,0
14.00111,665.9543230103012,0
15.000947,663.667672995113,0
16.001069,648.9990686873282,0
17.001176,666.937030233088,0
18.001112,659.5549723131772,0
19.001111,612.3248790909689,0
20.001182,680.678292026962,0
21.000958,643.8385582582354,0
22.000938,657.341490850916,0
23.001114,668.9861447926763,0
24.001122,664.9181811432107,0
25.00094,674.234368,0
26.00094,659.4408676382101,0
27.001112,677.3780772560164,0
28.001115,678.4272971277862,0
29.001117,656.500493494489,18
30.000977,682.5274551183103,0
31.001117,659.5556406277088,0
32.001115,642.77578537764,22
33.001117,649.0698593776657,0
34.001115,659.5569379480187,0
35.001111,671.0846400238418,0
36.001117,666.925700224999,0
37.00107,658.4748004526193,0
38.001117,688.9185793374673,0
39.001111,667.9409213809324,0
40.001114,664.7799079489636,0
41.00114,667.965605896017,0
42.001106,662.6933960664494,0
43.001116,649.0692016881663,0
44.001115,664.7965500006046,0
45.001116,657.4301921055712,0
46.001157,683.7002819572695,0
47.001115,662.7146078205823,0
48.001093,658.3483731101201,0
49.001332,673.1877982559789,0
50.001329,682.7690753874455,0
51.001115,649.066609630765,157
52.001118,652.0805694143752,0
53.001323,683.8137990902696,0
54.001115,655.36,0
55.001115,644.8645538954889,0
56.00113,676.3423239225824,0
57.001114,671.0880000006104,0
58.001115,648.0193500005894,0
59.001116,673.7990970579132,0
