time_s,throughput_mbps,retrans
0,125.72023929673067,0
1.000866,125.82975000315429,0
2.000861,78.63950642348159,15
3.000908,60.800324550044486,15
4.001189,18.8755571999221,144
5.001126,84.95275323019867,20
6.000913,50.33476819341714,5
7.000851,57.66810522159633,0
8.000913,57.65997425142405,37
9.001116,46.136744507789686,0
10.001129,24.1169835029008,0
11.00114,11.53507442227039,8
12.001076,33.55973483791156,68
13.000918,24.110809719206447,0
14.001185,23.07487904466871,28
15.000916,23.070194225439998,0
16.00085,26.213612523656373,0
17.00088,11.53415175294317,0
18.000896,23.063022134076412,9
19.001141,23.069087257474884,150
20.001123,23.073632691518682,11
21.000908,11.531684234785926,26
22.001138,23.06405842286854,1
23.001338,11.539309456065464,0
24.000907,23.058619632313327,1
25.001343,11.536735874222341,1
26.001135,12.585794160017656,10
27.000906,23.06212335952921,0
28.00119,11.535016665165097,1
29.001131,11.536758571208857,1
30.000921,22.0216592984772,0
31.00085,11.53166087057994,0
32.001082,23.07397934576555,0
33.000852,23.063368469571852,1
34.001082,23.06793502354499,0
35.001114,35.65892951312908,1
36.000908,23.07951897288878,0
37.000438,11.526428300073276,75
38.001124,33.55456600053513,0
39.00112,11.53416275260224,15
40.001135,23.068948378311163,5
41.001123,23.068718750094742,1
42.001121,23.063552636333366,0
43.001343,0.0,1
44.001209,24.118791973838082,30
45.001145,11.53754339164225,1
46.000867,11.534543628737442,1
47.000849,0.0,11
48.000923,11.534555316670062,0
49.000904,0.0,7
50.000904,11.531960489340117,10
51.00111,0.0,1
52.001141,11.533079386917157,4
53.00125,10.489253038220676,0
54.000917,11.530692026582424,0
55.001233,12.583994343091792,1
56.001147,49.28459954734544,100
57.001116,13.631161382826095,51
58.00114,35.65179862629206,0
59.001134,25.143571693508555,41
0,125.72023929673067,0
1.000866,125.82975000315429,0
2.000861,78.63950642348159,15
3.000908,60.800324550044486,15
4.001189,18.8755571999221,144
5.001126,84.95275323019867,20
6.000913,50.33476819341714,5
7.000851,57.66810522159633,0
8.000913,57.65997425142405,37
9.001116,46.136744507789686,0
10.001129,24.1169835029008,0
11.00114,11.53507442227039,8
12.001076,33.55973483791156,68
13.000918,24.110809719206447,0
14.001185,23.07487904466871,28
15.000916,23.070194225439998,0
16.00085,26.213612523656373,0
17.00088,11.53415175294317,0
18.000896,23.063022134076412,9
19.001141,23.069087257474884,150
20.001123,23.073632691518682,11
21.000908,11.531684234785926,26
22.001138,23.06405842286854,1
23.001338,11.539309456065464,0
24.000907,23.058619632313327,1
25.001343,11.536735874222341,1
26.001135,12.585794160017656,10
27.000906,23.06212335952921,0
28.00119,11.535016665165097,1
29.001131,11.536758571208857,1
30.000921,22.0216592984772,0
31.00085,11.53166087057994,0
32.001082,23.07397934576555,0
33.000852,23.063368469571852,1
34.001082,23.06793502354499,0
35.001114,35.65892951312908,1
36.000908,23.07951897288878,0
37.000438,11.526428300073276,75
38.001124,33.55456600053513,0
39.00112,11.53416275260224,15
40.001135,23.068948378311163,5
41.001123,23.068718750094742,1
42.001121,23.063552636333366,0
43.001343,0.0,1
44.001209,24.118791973838082,30
45.001145,11.53754339164225,1
46.000867,11.534543628737442,1
47.000849,0.0,11
48.000923,11.534555316670062,0
49.000904,0.0,7
50.000904,11.531960489340117,10
51.00111,0.0,1
52.001141,11.533079386917157,4
53.00125,10.489253038220676,0
54.000917,11.530692026582424,0
55.001233,12.583994343091792,1
56.001147,49.28459954734544,100
57.001116,13.631161382826095,51
58.00114,35.65179862629206,0
59.001134,25.143571693508555,41
