time_s,cwnd_bytes,rtt_ms
0.0,2193,34.937
1.0,555,16.801
2.0,281,95.14
3.0,282,161.979
4.0,283,138.323
5.0,294,39.503
6.0,153,40.081
7.0,81,39.126
8.0,1,21.192
9.0,115,23.429
10.0,150,25.583
11.0,87,31.019
12.0,56,48.625
13.0,1,57.132
14.0,114,23.203
15.0,138,46.444
16.0,90,31.208
17.0,105,29.356
18.0,124,44.186
19.0,134,154.165
20.0,155,28.169
21.0,90,27.39
22.0,119,30.382
23.0,140,31.877
24.0,166,36.325
25.0,187,41.448
26.0,99,32.657
27.0,65,31.563
28.0,90,32.512
29.0,111,35.074
30.0,69,34.478
31.0,43,41.052
32.0,59,39.655
33.0,73,45.182
34.0,85,45.363
35.0,102,47.991
36.0,111,36.664
37.0,126,37.201
38.0,20,42.467
39.0,50,24.938
40.0,70,23.231
41.0,111,24.952
42.0,76,22.642
43.0,109,32.809
44.0,129,33.65
45.0,155,32.136
46.0,50,19.312
47.0,70,32.95
48.0,87,69.168
49.0,49,70.936
50.0,69,27.303
51.0,62,24.693
52.0,46,23.592
53.0,77,28.637
54.0,92,21.743
55.0,77,28.665
56.0,96,32.166
57.0,40,16.172
58.0,34,28.552
0.0,2193,34.937
1.0,555,16.801
2.0,281,95.14
3.0,282,161.979
4.0,283,138.323
5.0,294,39.503
6.0,153,40.081
7.0,81,39.126
8.0,1,21.192
9.0,115,23.429
10.0,150,25.583
11.0,87,31.019
12.0,56,48.625
13.0,1,57.132
14.0,114,23.203
15.0,138,46.444
16.0,90,31.208
17.0,105,29.356
18.0,124,44.186
19.0,134,154.165
20.0,155,28.169
21.0,90,27.39
22.0,119,30.382
23.0,140,31.877
24.0,166,36.325
25.0,187,41.448
26.0,99,32.657
27.0,65,31.563
28.0,90,32.512
29.0,111,35.074
30.0,69,34.478
31.0,43,41.052
32.0,59,39.655
33.0,73,45.182
34.0,85,45.363
35.0,102,47.991
36.0,111,36.664
37.0,126,37.201
38.0,20,42.467
39.0,50,24.938
40.0,70,23.231
41.0,111,24.952
42.0,76,22.642
43.0,109,32.809
44.0,129,33.65
45.0,155,32.136
46.0,50,19.312
47.0,70,32.95
48.0,87,69.168
49.0,49,70.936
50.0,69,27.303
51.0,62,24.693
52.0,46,23.592
53.0,77,28.637
54.0,92,21.743
55.0,77,28.665
56.0,96,32.166
57.0,40,16.172
58.0,34,28.552
