time_s,cwnd_bytes,rtt_ms
0.0,11,19.847
1.0,11,19.847
2.0,11,19.847
3.0,11,19.847
4.0,11,19.847
5.0,11,19.847
6.0,11,19.847
7.0,11,19.847
8.0,11,19.847
9.0,11,19.847
10.0,11,19.847
11.0,11,19.847
12.0,11,19.847
13.0,11,19.847
14.0,11,19.847
15.0,11,19.847
16.0,11,19.847
17.0,11,19.847
18.0,11,19.847
19.0,11,19.847
20.0,11,19.847
21.0,11,19.847
22.0,11,19.847
23.0,11,19.847
24.0,11,19.847
25.0,11,19.847
26.0,11,19.847
27.0,11,19.847
28.0,11,19.847
29.0,11,19.847
30.0,11,19.847
31.0,11,19.847
32.0,11,19.847
33.0,11,19.847
34.0,11,19.847
35.0,11,19.847
36.0,11,19.847
37.0,11,19.847
38.0,11,19.847
39.0,11,19.847
40.0,11,19.847
41.0,11,19.847
42.0,11,19.847
43.0,11,19.847
44.0,11,19.847
45.0,11,19.847
46.0,11,19.847
47.0,11,19.847
48.0,11,19.847
49.0,11,19.847
50.0,11,19.847
51.0,11,19.847
52.0,11,19.847
53.0,11,19.847
54.0,11,19.847
55.0,11,19.847
56.0,11,19.847
57.0,11,19.847
58.0,11,19.847
0.0,11,19.847
1.0,11,19.847
2.0,11,19.847
3.0,11,19.847
4.0,11,19.847
5.0,11,19.847
6.0,11,19.847
7.0,11,19.847
8.0,11,19.847
9.0,11,19.847
10.0,11,19.847
11.0,11,19.847
12.0,11,19.847
13.0,11,19.847
14.0,11,19.847
15.0,11,19.847
16.0,11,19.847
17.0,11,19.847
18.0,11,19.847
19.0,11,19.847
20.0,11,19.847
21.0,11,19.847
22.0,11,19.847
23.0,11,19.847
24.0,11,19.847
25.0,11,19.847
26.0,11,19.847
27.0,11,19.847
28.0,11,19.847
29.0,11,19.847
30.0,11,19.847
31.0,11,19.847
32.0,11,19.847
33.0,11,19.847
34.0,11,19.847
35.0,11,19.847
36.0,11,19.847
37.0,11,19.847
38.0,11,19.847
39.0,11,19.847
40.0,11,19.847
41.0,11,19.847
42.0,11,19.847
43.0,11,19.847
44.0,11,19.847
45.0,11,19.847
46.0,11,19.847
47.0,11,19.847
48.0,11,19.847
49.0,11,19.847
50.0,11,19.847
51.0,11,19.847
52.0,11,19.847
53.0,11,19.847
54.0,11,19.847
55.0,11,19.847
56.0,11,19.847
57.0,11,19.847
58.0,11,19.847
