time_s,cwnd_bytes,rtt_ms
0.0,10,3.074
1.0,10,3.074
2.0,10,3.074
3.0,10,3.074
4.0,10,3.074
5.0,10,3.074
6.0,10,3.074
7.0,10,3.074
8.0,10,3.074
9.0,10,3.074
10.0,10,3.074
11.0,10,3.074
12.0,10,3.074
13.0,10,3.074
14.0,10,3.074
15.0,10,3.074
16.0,10,3.074
17.0,10,3.074
18.0,10,3.074
19.0,10,3.074
20.0,10,3.074
21.0,10,3.074
22.0,10,3.074
23.0,10,3.074
24.0,10,3.074
25.0,10,3.074
26.0,10,3.074
27.0,10,3.074
28.0,10,3.074
29.0,10,3.074
30.0,10,3.074
31.0,10,3.074
32.0,10,3.074
33.0,10,3.074
34.0,10,3.074
35.0,10,3.074
36.0,10,3.074
37.0,10,3.074
38.0,10,3.074
39.0,10,3.074
40.0,10,3.074
41.0,10,3.074
42.0,10,3.074
43.0,10,3.074
44.0,10,3.074
45.0,10,3.074
46.0,10,3.074
47.0,10,3.074
48.0,10,3.074
49.0,10,3.074
50.0,10,3.074
51.0,10,3.074
52.0,10,3.074
53.0,10,3.074
54.0,10,3.074
55.0,10,3.074
56.0,10,3.074
57.0,10,3.074
58.0,10,3.074
