time_s,cwnd_bytes,rtt_ms
0.0,1926,14.352
1.0,2094,14.185
2.0,2292,26.839
3.0,2447,32.146
4.0,2573,36.645
5.0,1904,36.26
6.0,1991,33.55
7.0,1459,19.819
8.0,1542,22.206
9.0,1606,21.413
10.0,1652,26.507
11.0,1685,21.893
12.0,1706,18.898
13.0,1718,14.023
14.0,1723,26.864
15.0,1724,20.424
16.0,1724,18.535
17.0,1725,17.003
18.0,1730,21.813
19.0,1741,17.694
20.0,1760,21.623
21.0,1790,26.452
22.0,1834,21.725
23.0,1893,22.157
24.0,1973,22.976
25.0,2070,30.565
26.0,2192,28.066
27.0,2340,22.444
28.0,2523,16.815
29.0,1915,23.066
30.0,2078,20.403
31.0,1552,13.962
32.0,1649,14.038
33.0,1722,23.254
34.0,1781,16.796
35.0,1823,17.796
36.0,1852,30.194
37.0,1870,26.112
38.0,1880,24.812
39.0,1884,27.75
40.0,1884,19.592
41.0,1884,15.986
42.0,1886,23.994
43.0,1892,18.651
44.0,1905,17.066
45.0,1927,20.635
46.0,1961,28.584
47.0,2010,19.521
48.0,2075,26.69
49.0,2159,25.415
50.0,2262,17.594
51.0,1719,16.297
52.0,1864,18.122
53.0,1981,29.584
54.0,2070,22.43
55.0,2142,32.24
56.0,2198,17.837
57.0,2237,18.425
58.0,2265,34.832
0.0,1926,14.352
1.0,2094,14.185
2.0,2292,26.839
3.0,2447,32.146
4.0,2573,36.645
5.0,1904,36.26
6.0,1991,33.55
7.0,1459,19.819
8.0,1542,22.206
9.0,1606,21.413
10.0,1652,26.507
11.0,1685,21.893
12.0,1706,18.898
13.0,1718,14.023
14.0,1723,26.864
15.0,1724,20.424
16.0,1724,18.535
17.0,1725,17.003
18.0,1730,21.813
19.0,1741,17.694
20.0,1760,21.623
21.0,1790,26.452
22.0,1834,21.725
23.0,1893,22.157
24.0,1973,22.976
25.0,2070,30.565
26.0,2192,28.066
27.0,2340,22.444
28.0,2523,16.815
29.0,1915,23.066
30.0,2078,20.403
31.0,1552,13.962
32.0,1649,14.038
33.0,1722,23.254
34.0,1781,16.796
35.0,1823,17.796
36.0,1852,30.194
37.0,1870,26.112
38.0,1880,24.812
39.0,1884,27.75
40.0,1884,19.592
41.0,1884,15.986
42.0,1886,23.994
43.0,1892,18.651
44.0,1905,17.066
45.0,1927,20.635
46.0,1961,28.584
47.0,2010,19.521
48.0,2075,26.69
49.0,2159,25.415
50.0,2262,17.594
51.0,1719,16.297
52.0,1864,18.122
53.0,1981,29.584
54.0,2070,22.43
55.0,2142,32.24
56.0,2198,17.837
57.0,2237,18.425
58.0,2265,34.832
