time_s,cwnd_bytes,rtt_ms
0.0,10,131.759
1.0,10,131.759
2.0,10,131.759
3.0,10,131.759
4.0,10,131.759
5.0,10,131.759
6.0,10,131.759
7.0,10,131.759
8.0,10,131.759
9.0,10,131.759
10.0,10,131.759
11.0,10,131.759
12.0,10,131.759
13.0,10,131.759
14.0,10,131.759
15.0,10,131.759
16.0,10,131.759
17.0,10,131.759
18.0,10,131.759
19.0,10,131.759
20.0,10,131.759
21.0,10,131.759
22.0,10,131.759
23.0,10,131.759
24.0,10,131.759
25.0,10,131.759
26.0,10,131.759
27.0,10,131.759
28.0,10,131.759
29.0,10,131.759
30.0,10,131.759
31.0,10,131.759
32.0,10,131.759
33.0,10,131.759
34.0,10,131.759
35.0,10,131.759
36.0,10,131.759
37.0,10,131.759
38.0,10,131.759
39.0,10,131.759
40.0,10,131.759
41.0,10,131.759
42.0,10,131.759
43.0,10,131.759
44.0,10,131.759
45.0,10,131.759
46.0,10,131.759
47.0,10,131.759
48.0,10,131.759
49.0,10,131.759
50.0,10,131.759
51.0,10,131.759
52.0,10,131.759
53.0,10,131.759
54.0,10,131.759
55.0,10,131.759
56.0,10,131.759
57.0,10,131.759
58.0,10,131.759
0.0,10,131.759
1.0,10,131.759
2.0,10,131.759
3.0,10,131.759
4.0,10,131.759
5.0,10,131.759
6.0,10,131.759
7.0,10,131.759
8.0,10,131.759
9.0,10,131.759
10.0,10,131.759
11.0,10,131.759
12.0,10,131.759
13.0,10,131.759
14.0,10,131.759
15.0,10,131.759
16.0,10,131.759
17.0,10,131.759
18.0,10,131.759
19.0,10,131.759
20.0,10,131.759
21.0,10,131.759
22.0,10,131.759
23.0,10,131.759
24.0,10,131.759
25.0,10,131.759
26.0,10,131.759
27.0,10,131.759
28.0,10,131.759
29.0,10,131.759
30.0,10,131.759
31.0,10,131.759
32.0,10,131.759
33.0,10,131.759
34.0,10,131.759
35.0,10,131.759
36.0,10,131.759
37.0,10,131.759
38.0,10,131.759
39.0,10,131.759
40.0,10,131.759
41.0,10,131.759
42.0,10,131.759
43.0,10,131.759
44.0,10,131.759
45.0,10,131.759
46.0,10,131.759
47.0,10,131.759
48.0,10,131.759
49.0,10,131.759
50.0,10,131.759
51.0,10,131.759
52.0,10,131.759
53.0,10,131.759
54.0,10,131.759
55.0,10,131.759
56.0,10,131.759
57.0,10,131.759
58.0,10,131.759
