time_s,cwnd_bytes,rtt_ms
0.0,155,32.279
1.0,324,65.646
2.0,253,45.003
3.0,275,40.517
4.0,279,34.848
5.0,226,39.706
6.0,247,37.766
7.0,259,33.375
8.0,265,37.903
9.0,1,34.543
10.0,277,337.55
11.0,172,28.853
12.0,190,25.507
13.0,200,28.595
14.0,211,23.627
15.0,224,33.049
16.0,239,26.726
17.0,253,22.291
18.0,269,23.558
19.0,282,36.922
20.0,295,32.574
21.0,307,32.346
22.0,240,23.389
23.0,273,51.246
24.0,208,23.163
25.0,103,23.8
26.0,138,42.183
27.0,160,30.666
28.0,174,25.093
29.0,180,25.617
30.0,182,37.218
31.0,182,33.81
32.0,186,34.182
33.0,200,33.712
34.0,214,19.779
35.0,160,21.674
36.0,191,32.954
37.0,210,28.592
38.0,221,31.955
39.0,225,21.975
40.0,231,25.126
41.0,246,34.91
42.0,260,27.353
43.0,273,28.14
44.0,286,33.17
45.0,299,34.367
46.0,312,29.898
47.0,345,28.755
48.0,280,33.49
49.0,313,35.916
50.0,334,40.168
51.0,245,63.418
52.0,269,22.358
53.0,282,22.03
54.0,288,35.922
55.0,293,53.394
56.0,240,30.315
57.0,266,24.146
58.0,282,31.827
0.0,155,32.279
1.0,324,65.646
2.0,253,45.003
3.0,275,40.517
4.0,279,34.848
5.0,226,39.706
6.0,247,37.766
7.0,259,33.375
8.0,265,37.903
9.0,1,34.543
10.0,277,337.55
11.0,172,28.853
12.0,190,25.507
13.0,200,28.595
14.0,211,23.627
15.0,224,33.049
16.0,239,26.726
17.0,253,22.291
18.0,269,23.558
19.0,282,36.922
20.0,295,32.574
21.0,307,32.346
22.0,240,23.389
23.0,273,51.246
24.0,208,23.163
25.0,103,23.8
26.0,138,42.183
27.0,160,30.666
28.0,174,25.093
29.0,180,25.617
30.0,182,37.218
31.0,182,33.81
32.0,186,34.182
33.0,200,33.712
34.0,214,19.779
35.0,160,21.674
36.0,191,32.954
37.0,210,28.592
38.0,221,31.955
39.0,225,21.975
40.0,231,25.126
41.0,246,34.91
42.0,260,27.353
43.0,273,28.14
44.0,286,33.17
45.0,299,34.367
46.0,312,29.898
47.0,345,28.755
48.0,280,33.49
49.0,313,35.916
50.0,334,40.168
51.0,245,63.418
52.0,269,22.358
53.0,282,22.03
54.0,288,35.922
55.0,293,53.394
56.0,240,30.315
57.0,266,24.146
58.0,282,31.827
