time_s,cwnd_bytes,rtt_ms
0.0,10,67.416
1.0,10,67.416
2.0,10,67.416
3.0,10,67.416
4.0,10,67.416
5.0,10,67.416
6.0,10,67.416
7.0,10,67.416
8.0,10,67.416
9.0,10,67.416
10.0,10,67.416
11.0,10,67.416
12.0,10,67.416
13.0,10,67.416
14.0,10,67.416
15.0,10,67.416
16.0,10,67.416
17.0,10,67.416
18.0,10,67.416
19.0,10,67.416
20.0,10,67.416
21.0,10,67.416
22.0,10,67.416
23.0,10,67.416
24.0,10,67.416
25.0,10,67.416
26.0,10,67.416
27.0,10,67.416
28.0,10,67.416
29.0,10,67.416
30.0,10,67.416
31.0,10,67.416
32.0,10,67.416
33.0,10,67.416
34.0,10,67.416
35.0,10,67.416
36.0,10,67.416
37.0,10,67.416
38.0,10,67.416
39.0,10,67.416
40.0,10,67.416
41.0,10,67.416
42.0,10,67.416
43.0,10,67.416
44.0,10,67.416
45.0,10,67.416
46.0,10,67.416
47.0,10,67.416
48.0,10,67.416
49.0,10,67.416
50.0,10,67.416
51.0,10,67.416
52.0,10,67.416
53.0,10,67.416
54.0,10,67.416
55.0,10,67.416
56.0,10,67.416
57.0,10,67.416
58.0,10,67.416
