time_s,cwnd_bytes,rtt_ms
0.0,158,76.733
1.0,146,151.483
2.0,162,69.472
3.0,154,38.804
4.0,212,44.603
5.0,304,40.372
6.0,296,52.973
7.0,350,50.662
8.0,442,68.881
9.0,4,77.699
10.0,1190,67.17
11.0,448,43.1
12.0,738,80.136
13.0,700,61.969
14.0,1,29.347
15.0,395,89.788
16.0,708,67.737
17.0,600,77.581
18.0,394,164.96
19.0,306,33.474
20.0,500,38.35
21.0,4,48.654
22.0,624,85.679
23.0,727,246.301
24.0,616,56.022
25.0,542,38.212
26.0,508,47.197
27.0,580,38.802
28.0,698,59.484
29.0,436,79.656
30.0,480,43.92
31.0,386,67.601
32.0,422,39.834
33.0,652,66.908
34.0,526,66.622
35.0,578,51.604
36.0,744,54.68
37.0,848,59.133
38.0,1,56.502
39.0,584,52.393
40.0,632,32.629
41.0,554,94.935
42.0,1,50.975
43.0,113,49.362
44.0,1,45.286
45.0,396,46.084
46.0,562,47.92
47.0,370,64.463
48.0,392,56.848
49.0,468,59.322
50.0,492,70.947
51.0,532,47.214
52.0,618,47.962
53.0,752,100.934
54.0,317,61.636
55.0,340,61.847
56.0,712,48.922
57.0,688,43.302
58.0,562,43.758
