time_s,cwnd_bytes,rtt_ms
0.0,301,12.858
1.0,638,148.968
2.0,675,84.693
3.0,675,65.73
4.0,1,58.555
5.0,624,44.291
6.0,149,50.424
7.0,167,51.57
8.0,91,33.712
9.0,75,41.149
10.0,52,103.372
11.0,68,43.098
12.0,109,40.986
13.0,105,41.566
14.0,85,41.313
15.0,101,51.624
16.0,76,85.756
17.0,87,48.284
18.0,92,54.532
19.0,74,48.039
20.0,86,40.996
21.0,92,38.338
22.0,68,32.63
23.0,85,39.961
24.0,1,41.891
25.0,80,47.322
26.0,89,81.623
27.0,1,117.926
28.0,190,59.769
29.0,151,96.438
30.0,173,98.377
31.0,188,63.187
32.0,143,49.854
33.0,111,51.583
34.0,120,59.33
35.0,123,34.013
36.0,100,33.788
37.0,107,81.136
38.0,32,43.888
39.0,120,44.964
40.0,66,45.814
41.0,74,36.014
42.0,80,34.617
43.0,89,32.394
44.0,101,41.643
45.0,178,102.404
46.0,139,39.655
47.0,167,52.19
48.0,183,42.224
49.0,238,37.295
50.0,249,39.046
51.0,290,53.314
52.0,303,66.536
53.0,340,62.006
54.0,248,53.684
55.0,191,50.821
56.0,143,118.912
57.0,159,77.276
58.0,166,53.532
